accession_number	seq	description	document	type
0001670254-20-000086	2		document_1.pdf	EX-99
0001670254-20-000086	3		document_2.pdf	EX-99
0001670254-20-000086	4		document_3.pdf	EX-99
0001670254-20-000086	5		document_4.pdf	EX-99
0001670254-20-000086	6		document_5.pdf	EX-99
0001670254-20-000086	7		document_6.pdf	EX-99
0001670254-20-000086	8		document_7.pdf	EX-99
0001670254-20-000086	9		documents_list.htm	EX-99
0001665160-20-000088	1		primary_doc.xml	C/A
0001665160-20-000088	2		offeringmemoformc.pdf	EX-99
0001785626-20-000004	1		primary_doc.xml	C
0001785626-20-000004	2		doc1.pdf	EX-99
0001785626-20-000004	3		doc2.pdf	EX-99
0001785626-20-000004	4		doc_3.pdf	EX-99
0001785626-20-000004	5		doc4.pdf	EX-99
0001785626-20-000004	6		doc501.jpg	GRAPHIC
0001785626-20-000004	7		doc502.jpg	GRAPHIC
0001785626-20-000004	8		doc506.jpg	GRAPHIC
0001785626-20-000004	9		doc505.jpg	GRAPHIC
0001785626-20-000004	10		doc503.jpg	GRAPHIC
0001785626-20-000004	11		doc504.jpg	GRAPHIC
0001746059-20-000031	1		primary_doc.xml	C/A
0001746059-20-000031	2		mizen_offmoca.pdf	EX-99
0001665160-20-000092	1		primary_doc.xml	C
0001665160-20-000092	2		offeringmemoformc.pdf	EX-99
0001670254-20-000088	1		primary_doc.xml	C
0001670254-20-000088	2		document_1.pdf	EX-99
0001670254-20-000088	3		document_2.pdf	EX-99
0001670254-20-000088	4		document_3.pdf	EX-99
0001670254-20-000088	5		document_4.pdf	EX-99
0001670254-20-000088	6		document_5.pdf	EX-99
0001670254-20-000088	7		document_6.pdf	EX-99
0001670254-20-000088	8		document_7.pdf	EX-99
0001670254-20-000088	9		documents_list.htm	EX-99
0001670254-20-000094	1		primary_doc.xml	C
0001670254-20-000094	2		document_1.pdf	EX-99
0001670254-20-000094	3		document_2.pdf	EX-99
0001670254-20-000094	4		document_3.pdf	EX-99
0001670254-20-000094	5		document_4.pdf	EX-99
0001670254-20-000094	6		document_5.pdf	EX-99
0001670254-20-000094	7		document_6.pdf	EX-99
0001670254-20-000094	8		document_7.pdf	EX-99
0001670254-20-000094	9		document_8.pdf	EX-99
0001670254-20-000094	10		document_9.pdf	EX-99
0001670254-20-000094	11		documents_list.htm	EX-99
0001670254-20-000099	1		primary_doc.xml	C
0001670254-20-000099	2		document_1.pdf	EX-99
0001670254-20-000099	3		document_2.pdf	EX-99
0001670254-20-000099	4		document_3.pdf	EX-99
0001670254-20-000099	5		document_4.pdf	EX-99
0001670254-20-000099	6		document_5.pdf	EX-99
0001670254-20-000099	7		document_6.pdf	EX-99
0001670254-20-000099	8		document_7.pdf	EX-99
0001670254-20-000099	9		documents_list.htm	EX-99
0001670254-20-000104	1		primary_doc.xml	C
0001670254-20-000104	2		document_1.pdf	EX-99
0001670254-20-000104	3		document_2.pdf	EX-99
0001670254-20-000104	4		document_3.pdf	EX-99
0001670254-20-000104	5		document_4.pdf	EX-99
0001670254-20-000104	6		document_5.pdf	EX-99
0001670254-20-000104	7		document_6.pdf	EX-99
0001670254-20-000104	8		document_7.pdf	EX-99
0001670254-20-000104	9		document_8.pdf	EX-99
0001670254-20-000104	10		document_9.pdf	EX-99
0001670254-20-000104	11		document_10.pdf	EX-99
0001670254-20-000104	12		documents_list.htm	EX-99
0001670254-20-000101	1		primary_doc.xml	C
0001670254-20-000101	2		document_1.pdf	EX-99
0001670254-20-000101	3		document_2.pdf	EX-99
0001670254-20-000101	4		document_3.pdf	EX-99
0001670254-20-000101	5		document_4.pdf	EX-99
0001670254-20-000101	6		document_5.pdf	EX-99
0001670254-20-000101	7		document_6.pdf	EX-99
0001670254-20-000101	8		document_7.pdf	EX-99
0001670254-20-000101	9		documents_list.htm	EX-99
0001670254-20-000096	1		primary_doc.xml	C
0001670254-20-000096	2		document_1.pdf	EX-99
0001670254-20-000096	3		document_2.pdf	EX-99
0001670254-20-000096	4		document_3.pdf	EX-99
0001670254-20-000096	5		document_4.pdf	EX-99
0001670254-20-000096	6		document_5.pdf	EX-99
0001670254-20-000096	7		document_6.pdf	EX-99
0001670254-20-000096	8		document_7.pdf	EX-99
0001670254-20-000096	9		documents_list.htm	EX-99
0001669191-20-000045	1		primary_doc.xml	C
0001669191-20-000045	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000045	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000045	4	INCOME STATEMENT	income.pdf	EX-99
0001669191-20-000045	5	BALANCE SHEET	balancesheet.pdf	EX-99
0001669191-20-000045	6	CASH FLOW STATEMENT	cashflow.pdf	EX-99
0001669191-20-000045	7	CHANGE IN EQUITY STATEMENT	changeinequity.pdf	EX-99
0001669191-20-000045	8	PRINCIPAL EXECUTIVE CERTIFICATION	executivecertification.pdf	EX-99
0001669191-20-000045	9	CERTIFICATE OF FORMATION	certificateofformation.pdf	EX-99
0001669191-20-000045	10	OPERATING AGREEMENT	operatingagreement.pdf	EX-99
0001669191-20-000045	11	PITCH DECK	pitchdeck.pdf	EX-99
0001669191-20-000045	12	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000045	13	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001669191-20-000047	1		primary_doc.xml	C/A
0001669191-20-000047	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000047	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000047	4	CPA REVIEW REPORT	reviewletter.pdf	EX-99
0001669191-20-000047	5	CERTIFICATE OF INCORPORATION	certificateofincorporation.pdf	EX-99
0001669191-20-000047	6	CORPORATE BYLAWS	corporatebylaws.pdf	EX-99
0001669191-20-000047	7	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000047	8	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001665160-20-000100	1		primary_doc.xml	C/A
0001665160-20-000101	1		primary_doc.xml	C-U
0001665160-20-000102	1		primary_doc.xml	C-U
0001790689-20-000001	1		primary_doc.xml	C-U
0001789878-20-000001	1		primary_doc.xml	C-U
0001794484-20-000001	1		primary_doc.xml	C/A
0001794484-20-000001	2	FORM C/A	formcaalphaa02102020.pdf	EX-99
0001670254-20-000106	1		primary_doc.xml	C/A
0001670254-20-000106	2		document_1.pdf	EX-99
0001670254-20-000106	3		document_2.jpg	GRAPHIC
0001670254-20-000106	4		document_3.pdf	EX-99
0001670254-20-000106	5		document_4.pdf	EX-99
0001670254-20-000106	6		document_5.pdf	EX-99
0001670254-20-000106	7		document_6.pdf	EX-99
0001670254-20-000106	8		document_7.pdf	EX-99
0001670254-20-000106	9		document_8.pdf	EX-99
0001670254-20-000106	10		documents_list.htm	EX-99
0001670254-20-000107	1		primary_doc.xml	C
0001670254-20-000107	2		document_1.pdf	EX-99
0001670254-20-000107	3		document_2.pdf	EX-99
0001670254-20-000107	4		document_3.pdf	EX-99
0001670254-20-000107	5		document_4.pdf	EX-99
0001670254-20-000107	6		document_5.pdf	EX-99
0001670254-20-000107	7		document_6.pdf	EX-99
0001670254-20-000107	8		document_7.pdf	EX-99
0001670254-20-000107	9		document_8.pdf	EX-99
0001670254-20-000107	10		document_9.pdf	EX-99
0001670254-20-000107	11		document_10.pdf	EX-99
0001670254-20-000107	12		documents_list.htm	EX-99
0001802577-20-000002	1		primary_doc.xml	C
0001802577-20-000002	2	NEGOTIABLE INSTRUMENT/ITEM	divineconstitutionandbylaws.pdf	EX-99
0001669191-20-000049	1		primary_doc.xml	C-U
0001746059-20-000032	1		primary_doc.xml	C-U
0001790166-20-000004	1		primary_doc.xml	C/A
0001790166-20-000004	2	FORMCA	compoundformcfiling.pdf	EX-99
0001665160-20-000104	1		primary_doc.xml	C/A
0001669191-20-000051	1		primary_doc.xml	C/A
0001669191-20-000051	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000051	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000051	4	INCOME STATEMENT	income.pdf	EX-99
0001669191-20-000051	5	BALANCE SHEET	balancesheet.pdf	EX-99
0001669191-20-000051	6	CASH FLOW STATEMENT	cashflow.pdf	EX-99
0001669191-20-000051	7	CHANGE IN EQUITY STATEMENT	changeinequity.pdf	EX-99
0001669191-20-000051	8	PRINCIPAL EXECUTIVE CERTIFICATION	executivecertification.pdf	EX-99
0001669191-20-000051	9	CERTIFICATE OF INCORPORATION	certificateofincorporation.pdf	EX-99
0001669191-20-000051	10	CORPORATE BYLAWS	corporatebylaws.pdf	EX-99
0001669191-20-000051	11	PITCH DECK	pitchdeck.pdf	EX-99
0001669191-20-000051	12	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000051	13	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001789369-20-000001	1		primary_doc.xml	C/A
0001789369-20-000001	2	FORMCA	formca.pdf	EX-99
0001746059-20-000033	1		primary_doc.xml	C/A
0001746059-20-000033	2		Kintaprec_offmoca.pdf	EX-99
0001759332-20-000001	1		primary_doc.xml	C/A
0001759332-20-000001	2	OFFERING CIRCULAR	offeringmemopersona.pdf	EX-99
0001654300-20-000001	1		primary_doc.xml	C/A
0001654300-20-000001	2	OFFERING MEMO EXTENDED	choicetradeoffering021220.pdf	EX-99
0001665160-20-000105	1		primary_doc.xml	C/A
0001792116-20-000001	1		primary_doc.xml	C/A
0001792116-20-000001	2	OPERATING AGREEMENT UPDATE	op_agreement2.pdf	EX-99
0001792116-20-000001	3	DISCLOSURES UPDATE	disclosures_updated.pdf	EX-99
0001792116-20-000001	4	FORM CA	form_ca.pdf	EX-99
0001554477-20-000002	1		primary_doc.xml	C
0001554477-20-000002	2	THUZIOFORMFC	thuzioformcfiling.pdf	EX-99
0001665160-20-000106	1		primary_doc.xml	C/A
0001797565-20-000001	1		primary_doc.xml	C
0001797565-20-000001	2	FORM C	biopact.pdf	EX-99
0001554477-20-000003	1		primary_doc.xml	C/A
0001554477-20-000003	2	WOOFYFORMCA02122020	woofyformca02122020.pdf	EX-99
0001665160-20-000109	1		primary_doc.xml	C
0001665160-20-000109	2		offeringmemoformc.pdf	EX-99
0001746059-20-000034	1		primary_doc.xml	C
0001746059-20-000034	2		avalon_offmo.pdf	EX-99
0001746059-20-000034	3		avalon_appxa.pdf	EX-99
0001746059-20-000034	4		avalon_appxb.pdf	EX-99
0001746059-20-000034	5		avalon_noteagmt.pdf	EX-99
0001746059-20-000034	6		avalon_page.jpg	GRAPHIC
0001665160-20-000112	1		primary_doc.xml	C
0001665160-20-000112	2		offeringmemoformc.pdf	EX-99
0001746059-20-000036	1		primary_doc.xml	C-U
0001798833-20-000002	1		primary_doc.xml	C
0001798833-20-000002	2	EXHIBIT A - OFFERING MEMORANDUM	BEFosa.pdf	EX-99
0001798833-20-000002	3	EXHIBIT B - BUSINESS PLAN	BEFbpb.pdf	EX-99
0001798833-20-000002	4	EXHIBIT C - FINANCIAL STATEMENTS	BEFCertc.pdf	EX-99
0001798833-20-000002	5	EXHIBIT D - OPERATING AGREEMENT	befoad.pdf	EX-99
0001665160-20-000114	1		primary_doc.xml	C/A
0001665160-20-000114	2		offeringmemoformc.pdf	EX-99
0001722197-20-000001	1		primary_doc.xml	C-TR
0001213900-20-003498	1		primary_doc.xml	C
0001213900-20-003498	2	OFFERING STATEMENT	fc0220_stevesgymllc.pdf	EX-99
0001746059-20-000037	1		primary_doc.xml	C
0001746059-20-000037	2		plumisland_offmo.pdf	EX-99
0001746059-20-000037	3		plumisland_appxa.pdf	EX-99
0001746059-20-000037	4		plumisland_appxb.pdf	EX-99
0001746059-20-000037	5		plumisland_noteagmt.pdf	EX-99
0001746059-20-000037	6		plumisland_page.jpg	GRAPHIC
0001665160-20-000122	1		primary_doc.xml	C-AR
0001665160-20-000122	2		form_car.pdf	EX-99
0001665160-20-000124	1		primary_doc.xml	C-AR
0001665160-20-000124	2		form_car.pdf	EX-99
0001746059-20-000039	1		primary_doc.xml	C
0001746059-20-000039	2		enthrall_offmo.pdf	EX-99
0001746059-20-000039	3		enthrall_appxa.pdf	EX-99
0001746059-20-000039	4		enthrall_appxb.pdf	EX-99
0001746059-20-000039	5		enthrall_noteagmt.pdf	EX-99
0001746059-20-000039	6		enthrall_vidtrans.pdf	EX-99
0001746059-20-000039	7		enthrall_page.jpg	GRAPHIC
0001746059-20-000039	8		enthrall_prospectus.pdf	EX-99
0001665160-20-000127	1		primary_doc.xml	C
0001665160-20-000127	2		offeringmemoformc.pdf	EX-99
0001746059-20-000041	1		primary_doc.xml	C
0001746059-20-000041	2		bullfinch_appxa.pdf	EX-99
0001746059-20-000041	3		bullfinch_appxb.pdf	EX-99
0001746059-20-000041	4		bullfinch_noteagmt.pdf	EX-99
0001746059-20-000041	5		bullfinch_bizplan.pdf	EX-99
0001746059-20-000041	6		bullfinch_page.jpg	GRAPHIC
0001746059-20-000041	7		bullfinch_offmo.pdf	EX-99
0001740075-20-000001	1		primary_doc.xml	C/A
0001746059-20-000043	1		primary_doc.xml	C
0001746059-20-000043	2		queensgambit_offmo.pdf	EX-99
0001746059-20-000043	3		queensgambit_appxa.pdf	EX-99
0001746059-20-000043	4		queensgambit_appxb.pdf	EX-99
0001746059-20-000043	5		queensgambit_noteagmt.pdf	EX-99
0001746059-20-000043	6		queensgambit_page.jpg	GRAPHIC
0001790424-20-000002	1		primary_doc.xml	C/A
0001790424-20-000002	2	GREENZONE OFFERING STATEMENT	gzos20200213.pdf	EX-99
0001670254-20-000113	1		primary_doc.xml	C
0001670254-20-000113	2		document_1.pdf	EX-99
0001670254-20-000113	3		document_2.pdf	EX-99
0001670254-20-000113	4		document_3.pdf	EX-99
0001670254-20-000113	5		document_4.pdf	EX-99
0001670254-20-000113	6		document_5.pdf	EX-99
0001670254-20-000113	7		document_6.pdf	EX-99
0001670254-20-000113	8		document_7.pdf	EX-99
0001670254-20-000113	9		document_8.pdf	EX-99
0001670254-20-000113	10		document_9.pdf	EX-99
0001670254-20-000113	11		documents_list.htm	EX-99
0001670254-20-000110	1		primary_doc.xml	C
0001670254-20-000110	2		document_1.pdf	EX-99
0001670254-20-000110	3		document_2.pdf	EX-99
0001670254-20-000110	4		document_3.pdf	EX-99
0001670254-20-000110	5		document_4.pdf	EX-99
0001670254-20-000110	6		document_5.pdf	EX-99
0001670254-20-000110	7		document_6.pdf	EX-99
0001670254-20-000110	8		document_7.pdf	EX-99
0001670254-20-000110	9		document_8.pdf	EX-99
0001670254-20-000110	10		document_9.pdf	EX-99
0001670254-20-000110	11		document_10.pdf	EX-99
0001670254-20-000110	12		document_11.pdf	EX-99
0001670254-20-000110	13		documents_list.htm	EX-99
0001746725-20-000001	1		primary_doc.xml	C-AR
0001746725-20-000001	2	2019 ANNUAL REPORT	veptasformcAR02142020.pdf	EX-99
0001746725-20-000002	1		primary_doc.xml	C-TR
0001746725-20-000002	2	TERMINATION REPORT	veptasformcTR02142020.pdf	EX-99
0001669191-20-000053	1		primary_doc.xml	C
0001669191-20-000053	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000053	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000053	4	INCOME STATEMENT	income.pdf	EX-99
0001669191-20-000053	5	BALANCE SHEET	balancesheet.pdf	EX-99
0001669191-20-000053	6	CASH FLOW STATEMENT	cashflow.pdf	EX-99
0001669191-20-000053	7	CHANGE IN EQUITY STATEMENT	changeinequity.pdf	EX-99
0001669191-20-000053	8	PRINCIPAL EXECUTIVE CERTIFICATION	executivecertification.pdf	EX-99
0001669191-20-000053	9	CERTIFICATE OF FORMATION	certificateofformation.pdf	EX-99
0001669191-20-000053	10	CERTIFICATE OF INCORPORATION	certificateofincorporation.pdf	EX-99
0001669191-20-000053	11	OPERATING AGREEMENT	operatingagreement.pdf	EX-99
0001669191-20-000053	12	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000053	13	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001799584-20-000003	1		primary_doc.xml	C
0001799584-20-000003	2	WEARWELL FORM C	wearwellc.pdf	EX-99
0001665160-20-000129	1		primary_doc.xml	C/A
0001665160-20-000130	1		primary_doc.xml	C/A
0001670254-20-000116	1		primary_doc.xml	C
0001670254-20-000116	2		document_1.pdf	EX-99
0001670254-20-000116	3		document_2.pdf	EX-99
0001670254-20-000116	4		document_3.pdf	EX-99
0001670254-20-000116	5		document_4.pdf	EX-99
0001670254-20-000116	6		document_5.pdf	EX-99
0001670254-20-000116	7		document_6.pdf	EX-99
0001670254-20-000116	8		document_7.pdf	EX-99
0001670254-20-000116	9		documents_list.htm	EX-99
0001665160-20-000131	1		primary_doc.xml	C/A
0001670254-20-000119	1		primary_doc.xml	C
0001670254-20-000119	2		document_1.pdf	EX-99
0001670254-20-000119	3		document_2.pdf	EX-99
0001670254-20-000119	4		document_3.pdf	EX-99
0001670254-20-000119	5		document_4.pdf	EX-99
0001670254-20-000119	6		document_5.pdf	EX-99
0001670254-20-000119	7		document_6.pdf	EX-99
0001670254-20-000119	8		document_7.pdf	EX-99
0001670254-20-000119	9		document_8.pdf	EX-99
0001670254-20-000119	10		documents_list.htm	EX-99
0001670254-20-000124	1		primary_doc.xml	C
0001670254-20-000124	2		document_1.pdf	EX-99
0001670254-20-000124	3		document_2.pdf	EX-99
0001670254-20-000124	4		document_3.pdf	EX-99
0001670254-20-000124	5		document_4.pdf	EX-99
0001670254-20-000124	6		document_5.pdf	EX-99
0001670254-20-000124	7		document_6.pdf	EX-99
0001670254-20-000124	8		document_7.pdf	EX-99
0001670254-20-000124	9		document_8.pdf	EX-99
0001670254-20-000124	10		document_9.pdf	EX-99
0001670254-20-000124	11		document_10.pdf	EX-99
0001670254-20-000124	12		document_11.pdf	EX-99
0001670254-20-000124	13		documents_list.htm	EX-99
0001670254-20-000122	1		primary_doc.xml	C
0001670254-20-000122	2		document_1.pdf	EX-99
0001670254-20-000122	3		document_2.pdf	EX-99
0001670254-20-000122	4		document_3.pdf	EX-99
0001670254-20-000122	5		document_4.pdf	EX-99
0001670254-20-000122	6		document_5.pdf	EX-99
0001670254-20-000122	7		document_6.pdf	EX-99
0001670254-20-000122	8		document_7.pdf	EX-99
0001670254-20-000122	9		document_8.pdf	EX-99
0001670254-20-000122	10		document_9.pdf	EX-99
0001670254-20-000122	11		document_10.pdf	EX-99
0001670254-20-000122	12		document_11.pdf	EX-99
0001670254-20-000122	13		document_12.pdf	EX-99
0001670254-20-000122	14		document_13.pdf	EX-99
0001670254-20-000122	15		documents_list.htm	EX-99
0001780122-20-000001	1		primary_doc.xml	C/A
0001780122-20-000001	2	GENOBANKFORMCA	genobankformca.pdf	EX-99
0001683168-20-000521	1		primary_doc.xml	C-TR
0001669191-20-000055	1		primary_doc.xml	C/A
0001669191-20-000055	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000055	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000055	4	INCOME STATEMENT	income.pdf	EX-99
0001669191-20-000055	5	BALANCE SHEET	balancesheet.pdf	EX-99
0001669191-20-000055	6	CASH FLOW STATEMENT	cashflow.pdf	EX-99
0001669191-20-000055	7	CHANGE IN EQUITY STATEMENT	changeinequity.pdf	EX-99
0001669191-20-000055	8	CPA AUDIT REPORT	auditreport.pdf	EX-99
0001669191-20-000055	9	PRINCIPAL EXECUTIVE CERTIFICATION	executivecertification.pdf	EX-99
0001669191-20-000055	10	CERTIFICATE OF INCORPORATION	certificateofincorporation.pdf	EX-99
0001669191-20-000055	11	CORPORATE BYLAWS	corporatebylaws.pdf	EX-99
0001669191-20-000055	12	PITCH DECK	pitchdeck.pdf	EX-99
0001669191-20-000055	13	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000055	14	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001798823-20-000002	1		primary_doc.xml	C/A
0001779032-20-000001	1		primary_doc.xml	C-U
0001746059-20-000045	1		primary_doc.xml	C-W
0001746059-20-000046	1		primary_doc.xml	C-W
0001669191-20-000057	1		primary_doc.xml	C/A
0001669191-20-000057	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000057	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000057	4	INCOME STATEMENT	income.pdf	EX-99
0001669191-20-000057	5	BALANCE SHEET	balancesheet.pdf	EX-99
0001669191-20-000057	6	CASH FLOW STATEMENT	cashflow.pdf	EX-99
0001669191-20-000057	7	CHANGE IN EQUITY STATEMENT	changeinequity.pdf	EX-99
0001669191-20-000057	8	CPA AUDIT REPORT	auditreport.pdf	EX-99
0001669191-20-000057	9	PRINCIPAL EXECUTIVE CERTIFICATION	executivecertification.pdf	EX-99
0001669191-20-000057	10	CERTIFICATE OF INCORPORATION	certificateofincorporation.pdf	EX-99
0001669191-20-000057	11	CORPORATE BYLAWS	corporatebylaws.pdf	EX-99
0001669191-20-000057	12	PITCH DECK	pitchdeck.pdf	EX-99
0001669191-20-000057	13	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000057	14	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001669191-20-000059	1		primary_doc.xml	C/A
0001669191-20-000059	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000059	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000059	4	INCOME STATEMENT	income.pdf	EX-99
0001669191-20-000059	5	BALANCE SHEET	balancesheet.pdf	EX-99
0001669191-20-000059	6	CASH FLOW STATEMENT	cashflow.pdf	EX-99
0001669191-20-000059	7	CHANGE IN EQUITY STATEMENT	changeinequity.pdf	EX-99
0001669191-20-000059	8	PRINCIPAL EXECUTIVE CERTIFICATION	executivecertification.pdf	EX-99
0001669191-20-000059	9	CERTIFICATE OF INCORPORATION	certificateofincorporation.pdf	EX-99
0001669191-20-000059	10	CORPORATE BYLAWS	corporatebylaws.pdf	EX-99
0001669191-20-000059	11	PITCH DECK	pitchdeck.pdf	EX-99
0001669191-20-000059	12	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000059	13	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001665160-20-000134	1		primary_doc.xml	C/A
0001665160-20-000134	2		offeringmemoformc.pdf	EX-99
0001777476-20-000001	1		primary_doc.xml	C
0001777476-20-000001	2	MQ FORM C SBS	formcsbsmightyquinn.pdf	EX-99
0001665160-20-000136	1		primary_doc.xml	C-AR
0001665160-20-000136	2		form_car.pdf	EX-99
0001670254-20-000127	1		primary_doc.xml	C
0001670254-20-000127	2		document_1.pdf	EX-99
0001670254-20-000127	3		document_2.pdf	EX-99
0001670254-20-000127	4		document_3.pdf	EX-99
0001670254-20-000127	5		document_4.pdf	EX-99
0001670254-20-000127	6		document_5.pdf	EX-99
0001670254-20-000127	7		document_6.pdf	EX-99
0001670254-20-000127	8		document_7.pdf	EX-99
0001670254-20-000127	9		document_8.pdf	EX-99
0001670254-20-000127	10		document_9.pdf	EX-99
0001670254-20-000127	11		document_10.pdf	EX-99
0001670254-20-000127	12		documents_list.htm	EX-99
0001670254-20-000131	1		primary_doc.xml	C
0001670254-20-000131	2		document_1.pdf	EX-99
0001670254-20-000131	3		document_2.pdf	EX-99
0001670254-20-000131	4		document_3.pdf	EX-99
0001670254-20-000131	5		document_4.pdf	EX-99
0001670254-20-000131	6		document_5.pdf	EX-99
0001670254-20-000131	7		document_6.pdf	EX-99
0001670254-20-000131	8		document_7.pdf	EX-99
0001670254-20-000131	9		documents_list.htm	EX-99
0001802485-20-000001	1		primary_doc.xml	C
0001802485-20-000001	2	OFFERING STATEMENT	formcupperrow.pdf	EX-99
0001665160-20-000137	1		primary_doc.xml	C-U
0001665160-20-000138	1		primary_doc.xml	C-U
0001665160-20-000139	1		primary_doc.xml	C-U
0001708246-20-000001	1		primary_doc.xml	C
0001708246-20-000001	2	FORM C	formc.pdf	EX-99
0001802569-20-000001	1		primary_doc.xml	C
0001802569-20-000001	2		doc101.pdf	EX-99
0001802569-20-000001	3		doc103.jpg	GRAPHIC
0001802569-20-000001	4		doc2.pdf	EX-99
0001802569-20-000001	5		doc3.pdf	EX-99
0001802569-20-000001	6		doc401.jpg	GRAPHIC
0001802569-20-000001	7		doc402.jpg	GRAPHIC
0001802569-20-000001	8		doc403.jpg	GRAPHIC
0001802569-20-000001	9		doc404.jpg	GRAPHIC
0001802569-20-000001	10		doc405.jpg	GRAPHIC
0001802569-20-000001	11		doc406.jpg	GRAPHIC
0001746059-20-000047	1		primary_doc.xml	C/A
0001746059-20-000047	2		popking_offmoca2.pdf	EX-99
0001746059-20-000048	1		primary_doc.xml	C/A
0001746059-20-000048	2		truewines_offmoca.pdf	EX-99
0001746059-20-000049	1		primary_doc.xml	C-W
0001746059-20-000050	1		primary_doc.xml	C-W
0001746059-20-000051	1		primary_doc.xml	C-W
0001746059-20-000052	1		primary_doc.xml	C-W
0001796295-20-000001	1		primary_doc.xml	C/A
0001665160-20-000141	1		primary_doc.xml	C/A
0001665160-20-000141	2		offeringmemoformc.pdf	EX-99
0001669191-20-000061	1		primary_doc.xml	C/A
0001669191-20-000061	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000061	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000061	4	CPA REVIEW REPORT	reviewletter.pdf	EX-99
0001669191-20-000061	5	CERTIFICATE OF INCORPORATION	certificateofincorporation.pdf	EX-99
0001669191-20-000061	6	CORPORATE BYLAWS	corporatebylaws.pdf	EX-99
0001669191-20-000061	7	PITCH DECK	pitchdeck.pdf	EX-99
0001669191-20-000061	8	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000061	9	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001730486-20-000002	1		primary_doc.xml	C-U
0001665160-20-000143	1		primary_doc.xml	C/A
0001665160-20-000143	2		offeringmemoformc.pdf	EX-99
0001670254-20-000134	1		primary_doc.xml	C/A
0001670254-20-000134	2		document_1.pdf	EX-99
0001670254-20-000134	3		document_2.pdf	EX-99
0001670254-20-000134	4		document_3.pdf	EX-99
0001670254-20-000134	5		document_4.pdf	EX-99
0001670254-20-000134	6		document_5.pdf	EX-99
0001670254-20-000134	7		document_6.pdf	EX-99
0001670254-20-000134	8		document_7.pdf	EX-99
0001670254-20-000134	9		documents_list.htm	EX-99
0001669191-20-000063	1		primary_doc.xml	C/A
0001669191-20-000063	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000063	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000063	4	CPA REVIEW REPORT	reviewletter.pdf	EX-99
0001669191-20-000063	5	CERTIFICATE OF INCORPORATION	certificateofincorporation.pdf	EX-99
0001669191-20-000063	6	CORPORATE BYLAWS	corporatebylaws.pdf	EX-99
0001669191-20-000063	7	PITCH DECK	pitchdeck.pdf	EX-99
0001669191-20-000063	8	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000063	9	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001669191-20-000067	1		primary_doc.xml	C
0001669191-20-000067	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000067	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000067	4	INCOME STATEMENT	income.pdf	EX-99
0001669191-20-000067	5	BALANCE SHEET	balancesheet.pdf	EX-99
